energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,score
2064.0,23.0,12.0,0.2282986111111111,0.0070976525821596,63.0,28.0,0.75,6.8,0.41,0.161417322834646,0.0004505839416058,0.0492506738544474,0.2712438162544169,0.0057775510204081,0
126.0,1.0,0.4,0.3519417475728155,0.0010697715917202,3.8,1.9,1.8,0.6,0.633,0.249212598425197,0.0001179487179487,0.0207765567765567,0.12,0.0021601307189542,3
988.0,8.6,3.7,1.0,0.0004226207906295,26.4,4.6,1.5,12.3,1.31064,0.516,0.00012,0.065,0.1330635838150289,0.0036144186046511,2
1676.0,7.1,0.9,0.0807221724858251,0.0154541845848494,67.0,5.8,3.5500000000000003,12.0,1.6,0.62992125984252,0.000587326869806,0.041183908045977,0.9633571428571428,0.0090092838196286,1
392.0,2.1,1.4,0.0,0.0017464905037159,14.2,13.2,0.1,4.2,0.15,0.0590551181102362,0.0007421428571428,0.0432825719120135,0.12,0.0058713991163475,3
370.0,0.1,0.0,0.0259701492537313,0.0,13.5,13.5,7.8,4.4,1.8,0.708661417322835,0.0004030230607966,0.0068813559322033,0.0624615384615384,0.0034333333333333,4
226.0,0.0,0.0,0.0,0.0,12.0,11.0,2.3,0.5,0.0,0.0,4.060640732265447e-06,0.0064999999999999,0.12,0.0076737804878048,4
778.0,8.0,0.6,0.1900297176820208,0.0023688436830835,16.0,0.5,0.6,13.0,1.2954,0.51,0.0001370677419354,0.011484375,0.1324322580645161,0.0023843598615916,3
213.0,2.1,0.4,0.0150553505535055,0.0009097744360902,4.0,3.6,0.6,3.7,0.15,0.0590551181102362,0.0004290559621179,0.0437911025145067,0.12,0.0020594594594594,4
2160.0,31.0,2.5,0.3176470588235294,0.0,52.0,2.3,4.2,6.4,1.3,0.511811023622047,0.0005397426067907,0.075248,0.2367727272727272,0.0031857142857142,2
959.0,7.9,5.3,0.0244106236944195,0.0,34.4,25.1,0.4,4.7,0.3,0.118110236220472,0.0004603418803418,0.053707,0.6933734939759036,0.0098209459459459,1
505.0,4.0,1.5,0.0,0.0658329474032418,1.0,0.8,0.5,20.0,2.08,0.818897637795276,0.0004855618521078,0.0424186274509804,1.0,0.007,1
1144.0,19.3,11.8,0.0073015873015873,0.0042116953405017,0.0,0.0,0.0,25.3,5.4,2.1259842519685,0.000531415478615,0.0434716981132075,0.2045650887573964,0.0023263112639724,0
1895.0,21.0,2.0,0.0428571428571428,0.0308613959642738,59.0,29.0,1.8,5.9,0.7874,0.31,0.0004880082644628,0.0429497487437185,0.982,0.005788679245283,1
592.0,3.5,2.0,1.0,0.0010219376391982,20.1,1.7,2.1,6.1,1.4,0.551181102362205,0.0001617771883289,0.0307657992565055,0.1416265060240964,0.0045082352941176,2
705.0,2.6,1.6,0.0,0.0196951219512195,26.0,2.6,2.4,8.7,1.4732,0.58,7.477272727272727e-05,0.0129310344827586,0.0946875,0.0563277027027027,3
2085.0,21.0,14.0,0.2793103448275862,0.0191296924731182,69.0,45.0,0.0249999999999999,5.6,0.63,0.248031496062992,0.0004783333333333,0.07,0.5966666666666667,0.0086,0
2320.0,39.2,24.1,0.1414905450500556,0.0954724900737379,35.3,27.4,4.2,10.3,0.01,0.0039370078740157,0.0001861689106487,0.0263174019607843,0.341640625,0.0050260869565217,0
325.0,0.1,0.0,0.0143450184501845,0.000793984962406,11.0,10.6,0.0,8.0,0.1,0.0393700787401575,0.0004515294877313,0.013800578034682,0.147032967032967,0.0030389645776566,4
2184.0,45.8,18.3,0.5011717709720374,0.0154282766323024,1.8,1.0,0.0,27.0,4.2,1.65354330708661,0.0005323849372384,0.0484397538461538,0.1917355371900826,0.0067807817589576,0
943.0,7.2,5.0,1.0,4.5948203842940656e-05,27.3,0.5,1.9,11.6,1.37,0.539370078740158,0.00012,0.0393865030674846,0.1265488372093023,0.0037339805825242,2
1644.0,6.6,3.1,0.0,0.0535024809791597,69.0,27.3,8.6,9.3,0.82,0.322834645669291,0.0005339982722874,0.0590607843137254,0.3666666666666667,0.007,1
1631.0,7.5,1.2,0.1797716150081566,0.0,65.0,17.0,10.0,9.9,0.75,0.295275590551181,0.0001876470588235,0.1228054298642534,0.408,0.0053,2
1385.0,0.2,0.2,0.0,0.0035765472312703,77.0,63.0,2.72,2.8,0.0299999999999999,0.0118110236220472,2.999630541871921e-05,0.0364179104477611,0.2623587786259542,0.0042,1
2220.0,31.0,18.0,0.1688838951310861,0.1146524064171123,55.0,51.0,0.0,6.0,0.1778,0.07,0.0005240065789473,0.0636601307189542,0.2382096774193548,0.0036701657458563,0
1620.0,11.1,1.11,0.019931693989071,0.0,53.1,20.0,16.0,10.9,0.226,0.0889,0.0002718872148084,0.0192680232558139,0.13284,0.0031925,4
755.0,6.2,0.7,0.0,0.0,20.1,3.6,3.2,9.3,1.24,0.488188976377953,0.000106014986376,0.012,0.12,0.0032,4
530.0,5.9,1.4,0.0074815498154981,0.0041441441441441,9.8,0.9,4.5,6.4,0.762,0.3,0.0002278285714285,0.0161845261121856,0.1254761904761904,0.0034564705882352,4
71.0,0.0,0.0,0.0179012915129151,0.0,0.3,0.2,2.5,2.7,0.0254,0.01,0.0003390159276797,0.0126008583690987,0.12,0.0083258974358974,4
1281.0,9.2,5.2,0.4741623488773748,0.0017009708737864,38.3,2.5,2.9,14.2,1.2,0.47244094488189,0.0004349233296823,0.05085,0.7388,0.0077025440313111,2
252.0,2.7,0.6,0.0188699261992619,0.0,3.4,1.2,0.9,5.3,0.5588,0.22,0.0003083702109341,0.0192605555555555,0.1533527696793002,1.097723714285714,4
1532.0,14.5,7.6,0.0,0.0620281177638107,49.1,20.1,2.8,8.3,1.0,0.393700787401575,0.0005005079474775,0.0475539215686274,0.5490909090909091,0.007,1
417.0,0.3,0.0,0.3867047891350964,0.0253728294177732,22.0,22.0,1.7,1.1,0.0,0.0,0.00012,0.0123157894736842,0.3946915422885572,0.0047530612244897,2
602.0,9.8,6.7,1.0,0.0009243777452415,10.1,9.1,0.1,2.9,0.127,0.05,0.0001398143236074,0.0321338289962825,0.1453124999999999,0.0035147965116279,2
908.0,7.0,3.1,0.4267333809864189,0.0227415730337078,28.0,2.3,3.95,9.0,1.15,0.453,0.00012,0.0152631578947368,0.3308905472636816,0.0043640776699029,2
707.0,10.0,6.7,0.0348254252461951,0.0,16.5,14.5,1.5533333333333332,3.2,0.2,0.078740157480315,0.0003577078085642,0.056848,0.4668269230769231,0.0064120603015075,1
218.0,0.0,0.0,0.0,0.0,12.0,11.0,2.0,0.5,0.01,0.0039370078740157,9.810626702997274e-05,0.0144324324324324,0.1356701030927835,0.0032,4
2160.0,29.0,4.5,0.0,0.0679937148527952,52.0,6.5,3.0,10.5,1.45034,0.571,0.0004770739460953,0.0395022875816993,0.2294285714285714,0.0089444444444444,1
2260.0,39.2,6.4,0.0,0.0169446254071661,50.0,37.5,6.25,5.5,0.0159,0.00625,1.0172660098522169e-05,0.0205758620689655,0.2305806451612903,0.0038322580645161,1
540.0,6.08,0.5,0.0003005464480874,0.0,12.9,1.58,0.0,5.42,0.288,0.113,0.0006010943396226,0.0038648648648648,0.1164812030075188,0.0027014551083591,4
2268.0,31.92,11.5,0.4679487179487179,0.0097333333333333,48.52,44.8,0.0,11.7,1.0,0.393700787401575,0.0001825806451612,0.0,0.0889041237113402,0.0017026804123711,0
1827.0,15.0,3.0,0.4031451036454611,0.0242921348314606,63.0,17.0,9.4,7.1,0.24,0.0944881889763779,0.00012,0.0135263157894736,0.3684875621890547,0.0025938775510204,2
581.0,7.3,5.3,1.0,0.000606149341142,14.8,13.2,2.8,2.2,0.0199898,0.00787,0.00012,0.033539033457249,0.1393641618497109,0.0035779796511627,2
538.0,2.6,0.8,0.0,0.0004110671936758,0.7,0.0,0.0,25.0,1.2,0.47244094488189,0.000160188449848,0.0232518891687657,0.12,0.0021457478005865,3
1910.0,17.0,4.5,0.0232769830949284,0.0142064128256513,65.0,31.0,5.0,8.0,0.37846,0.149,0.0001988685813751,0.0330925804333552,0.7184999999999999,0.007,1
2310.0,34.5,19.5,0.2188235294117647,0.0425625,53.0,52.5,2.4,5.7,0.3,0.118110236220472,0.0003278430232558,0.0404360465116279,0.3035080058224163,0.0032348837209302,0
272.0,0.2,0.0,0.0277694235588972,0.0554965034965034,14.7,11.0,1.0,0.4,0.0508,0.02,7.121951219512195e-05,0.008,0.0739344262295082,0.0010536585365853,3
0.0,0.0,0.0,0.0,0.0104541701073492,98.3,0.0,0.0,0.0,0.0,0.0,0.0001973100303951,0.02,0.12,0.006395887755102,3
457.0,4.5,1.9,0.0,0.0,7.5,1.2,2.3,8.5,1.1,0.433070866141732,0.0003904382470119,0.0085964912280701,0.1346756756756756,0.0033823788546255,4
1795.0,23.0,12.0,0.9,0.0162627388535031,48.0,31.0,4.2,7.5,0.249936,0.0984,0.0003572236024844,0.0306465136645962,0.0898525477707006,0.0031249378881987,0
1233.0,27.9,2.1,0.0913043478260869,0.0,11.1,7.0,0.0,0.5,1.8,0.708661417322835,0.000322776327241,0.0332094522019334,0.289906976744186,0.005295652173913,1
