energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
441.0,4.7,1.7,0.0019880073800738,0.016066066066066,7.9,0.7,2.4,6.7,0.97,0.381889763779527,0.000163008680851,0.0373215811965812,0.123820143884892,0.0050046875,-1.0,3017800215777,4
492.0,5.2,0.9,0.0020756457564575,0.0158758758758758,1.5,0.9,3.0,16.0,0.9,0.354330708661417,0.0001632382978723,0.0361807692307692,0.1244352517985611,0.005271875,-1.0,3019081236717,4
391.0,3.9,1.1,0.0020894833948339,0.0158458458458458,5.3,1.8,2.3,8.1,0.762,0.3,0.0001632745531914,0.036000641025641,0.1245323741007194,0.0053140625,-3.0,3021690006049,4
387.0,2.5,0.8,0.0020940959409594,0.0158358358358358,8.7,2.4,4.5,6.5,0.7366,0.29,0.0001632866382978,0.0359405982905982,0.1245647482014388,0.005328125,-6.0,3021690011258,4
565.0,2.6,1.0,0.0021033210332103,0.0158158158158158,19.6,1.1,1.2,7.4,0.8,0.31496062992126,0.0001633108085106,0.0358205128205128,0.1246294964028777,0.00535625,-1.0,3021690011333,4
572.0,6.3,2.3,0.0021263837638376,0.0157657657657657,9.5,1.5,3.0,8.9,0.7874,0.31,0.0001633712340425,0.0355202991452991,0.1247913669064748,0.0054265625,-3.0,3021690018035,4
279.0,2.7,1.1,0.0021356088560885,0.0157457457457457,3.0,2.3,1.5,6.8,0.7874,0.31,0.0001633954042553,0.0354002136752136,0.1248561151079136,0.0054546875,-2.0,3021690018370,4
648.0,4.7,1.6,0.002140221402214,0.0157357357357357,18.4,2.4,2.1,8.4,0.508,0.2,0.0001634074893617,0.0353401709401709,0.124888489208633,0.00546875,-3.0,3021690018561,4
387.0,2.5,0.8,0.0021448339483394,0.0157257257257257,8.7,2.4,4.5,6.5,0.73,0.28740157480315,0.000163419574468,0.0352801282051282,0.1249208633093525,0.0054828125,-6.0,3021690018943,4
498.0,3.1,0.5,0.0021540590405904,0.0157057057057057,14.8,2.0,2.7,6.5,0.8636,0.34,0.0001634437446808,0.0351600427350427,0.1249856115107913,0.0055109375,-3.0,3021690019858,4
462.0,4.8,2.0,0.002200184501845,0.0156056056056056,7.7,1.9,3.9,7.2,0.86,0.338582677165354,0.0001635645957446,0.0345596153846153,0.1253093525179856,0.0056515625,-4.0,3021690023978,4
